Label,mean,std
2.0,0.5193874266073492,0.20163939230318043
3.0,0.3206622418749352,0.16919348319876784
4.0,0.2094770174300125,0.1454798553611497
5.0,0.25100146986678107,0.14798755378045111
7.0,0.41322368089616435,0.1828767231072583
8.0,0.30424444352897334,0.16875440972966924
10.0,0.4109833640094816,0.20181048793499734
11.0,0.340403076715909,0.17533997354059863
12.0,0.4330937947363988,0.1883745884562922
13.0,0.48995203618162414,0.1981910439810521
14.0,0.2272521401220492,0.14935137519726494
15.0,0.22873555090152578,0.14663717361461276
16.0,0.42248824814998964,0.19437780535568105
17.0,0.33630366894794206,0.17251389968515582
18.0,0.3427651967457793,0.16960228274120737
26.0,0.35337819856982816,0.1782545805430726
28.0,0.44634446991421667,0.19484546673369343
41.0,0.4993497376472454,0.19140507869863724
42.0,0.33496141393859163,0.18165745037999387
43.0,0.20425839024736744,0.1397189147540995
44.0,0.26779783321363554,0.15054163862970749
46.0,0.4165010831863816,0.17464760485245828
47.0,0.289421021668113,0.1685462243307543
49.0,0.4233699207679493,0.2068720901038176
50.0,0.36239372780737683,0.1773040876920263
51.0,0.4420899931973096,0.1867106497414707
52.0,0.49204407483728463,0.17393079350178425
53.0,0.36054752823214514,0.1855274368429601
54.0,0.4320918544459221,0.19933026508789228
58.0,0.356878137713355,0.16892913159296893
60.0,0.44522921377286845,0.2069953138268558
